originator,OML.ols,OML.sp,GML.ols,GML.sp,Competitive Suppression.ols,Competitive Suppression.sp,Direct Suppression.ols,Direct Suppression.sp,Generalized Competitive Suppression.ols,Generalized Competitive Suppression.sp,Generalized Direct Suppression.ols,Generalized Direct Suppression.sp,ROE Competitive Suppression.ols,ROE Competitive Suppression.sp,ROE Direct Suppression.ols,ROE Direct Suppression.sp
Generalized Competitive Suppression,-207.567520467285,-205.97198574763,-208.943687082841,-171.454149217224,-185.781326683282,-168.674354139541,-228.697180935782,-225.3872241347,-257.309015834717,-154.040520363642,-212.650992342775,-177.118010820313,-193.217085516474,-168.949911137785,-217.642501510415,-206.312196295297
Generalized Direct Suppression,-178.926494578119,-170.597660887066,-139.530109609137,-120.218473128254,-195.150986713187,-191.575379000458,-196.858147343069,-184.347040734266,-209.43828484024,-175.446942655882,-118.306733679429,-94.9257009907363,-174.754128913922,-168.136917293663,-236.018212443214,-170.188261100193
ROE Competitive Suppression,-176.195538331562,-166.246831769966,-222.523765668265,-167.766647833678,-184.032346545175,-180.737333652074,-198.595315518119,-184.877883352535,-226.918800440059,-182.579674143036,-236.118211174091,-178.952298309642,-153.606007388099,-150.62356833994,-198.327418195677,-167.36950663659
ROE Direct Suppression,-151.36559345781,-148.522035837742,-210.824341445009,-155.728465905315,-199.566292992833,-196.037464711423,-182.175907306319,-172.778728086726,-260.116954862169,-202.761520112705,-221.486948646918,-172.326231545172,-154.089144463467,-149.697858971347,-271.542503334864,-149.436745894917
OML,-146.648482611487,-145.487676441331,-178.168869560326,-151.524443796838,-204.736443447368,-196.867472065408,-167.454290400367,-162.197614800576,-238.491602884522,-195.923316144667,-205.647394320023,-163.752803569444,-156.717230858165,-152.511774431202,-262.475452251203,-145.272700749315
GML,-174.338948252027,-165.915719307634,-168.43994374308,-108.50840584666,-192.800135881178,-184.778525721873,-195.762074791464,-189.01181968909,-183.939212289134,-166.434916646411,-148.176511143666,-112.882885096627,-169.117034894576,-163.613659130741,-225.391789960965,-165.923093433914
Competitive Suppression,-204.958777758746,-196.538454388324,-305.568681259947,-191.804603749657,-173.537714295746,-160.167009771563,-225.666574203605,-216.132166732962,-252.481070981912,-176.153374731614,-312.08802421946,-195.450285855609,-218.995831825947,-172.880711324127,-372.504505863661,-195.457617192936
Direct Suppression,-192.424696923384,-188.62223818873,-222.861185000828,-194.98433844724,-233.2920006039,-228.458931769214,-178.809550355732,-176.031777753606,-262.693298543338,-232.627260651217,-210.815336580416,-183.547164040071,-195.560562860324,-190.40630824681,-206.965683000057,-174.979346982842
Generalized Competitive Suppression,-217.42111029495,-211.925607336653,-234.330165936155,-193.553862877367,-180.159797077479,-174.689292456372,-237.300369461456,-231.108967301571,-179.820346796821,-161.831580844353,-433.960383708278,-198.715516696374,-191.30964054577,-179.617005468291,-250.691063439187,-211.571954485955
Generalized Direct Suppression,-158.797304752714,-155.213811180931,-153.809142340202,-110.723939220936,-185.828525252457,-182.170638799812,-178.866111979582,-175.583445936758,-174.515502272373,-162.900443092385,-173.431205417645,-104.456567789014,-153.171057805059,-150.477133405457,-242.231320588945,-155.978123345473
ROE Competitive Suppression,-177.114056836039,-161.17934762556,-230.760540598829,-159.094389001019,-185.621299951949,-168.411939391831,-224.456588134251,-182.763730284113,-320.035452023008,-173.398087886154,-269.081015572554,-169.688664606037,-165.036030361975,-144.953314866032,-203.260755887702,-161.328300415175
ROE Direct Suppression,-159.153406461593,-154.805483752349,-218.047158308887,-155.64415272076,-197.396051605121,-192.421882333079,-190.445816430319,-177.27010746804,-267.195277835287,-201.856319189752,-235.58737123828,-171.621536597293,-165.393086423367,-155.172940408407,-259.274747062494,-154.919152461042
OML,-160.077378831636,-144.979206417434,-204.023326043308,-152.773312127156,-210.060752258992,-203.239112026622,-170.875282089978,-163.870421414028,-258.27548637291,-203.169971326636,-238.594237455432,-165.177750239785,-188.135311441807,-156.606478013732,-231.828122493591,-147.055608600755
GML,-179.184903782908,-159.018279466722,-166.305109028417,-113.101048825216,-176.678678401234,-172.278277864145,-198.55002498957,-183.397013078162,-197.970490139886,-159.478367965222,-148.337104576034,-118.106755060708,-168.724212640968,-147.808410767021,-280.818861567617,-157.860069003893
Competitive Suppression,-197.519234388042,-195.082001008363,-242.439710358282,-189.039142515791,-152.383503371507,-147.924540685967,-222.366293541498,-220.231470491853,-229.477844179476,-160.006085447251,-253.917701320741,-199.080892093664,-169.515558661585,-157.191880120878,-228.485410222694,-194.950132237597
Direct Suppression,-184.452699344916,-182.01268870224,-229.731573808139,-195.748654163543,-234.775770063584,-229.855954086193,-180.831500423398,-177.762107638489,-282.909089291481,-234.146574652186,-219.673132330652,-188.867395295351,-194.484286666229,-191.35985299518,-336.369820626893,-179.86175319845
Generalized Competitive Suppression,-226.317984386468,-216.197494272771,-217.923470699073,-190.220700459055,-194.116341673809,-183.679221108216,-240.142783817156,-233.329335817641,-196.837230966479,-170.159023969687,-221.016721956044,-195.955541458744,-213.224813343689,-186.849461998564,-241.824133623974,-216.317132600404
Generalized Direct Suppression,-182.486371301558,-169.085855322172,-130.907240852912,-106.550629942757,-192.882372842478,-184.246127853949,-189.65840261172,-183.421296048523,-188.392387798059,-163.356535356966,-129.634034543466,-89.134016555333,-181.446593832529,-166.602196519938,-276.169350816758,-168.30490998169
